#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
african	Alanine_aminotransferase	snpnet	qt	Covariates_only	3.273223e-01
african	Alanine_aminotransferase	snpnet	qt	Genotype_and_covariates	3.285083e-01
african	Alanine_aminotransferase	snpnet	qt	Genotype_only	5.895505e-02
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Covariates_only	3.294939e-01
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	3.304169e-01
african	Alanine_aminotransferase_adjstatins	snpnet	qt	Genotype_only	5.712536e-02
african	Albumin	snpnet	qt	Covariates_only	2.673572e-01
african	Albumin	snpnet	qt	Genotype_and_covariates	2.427897e-01
african	Albumin	snpnet	qt	Genotype_only	2.172836e-02
african	Albumin_adjstatins	snpnet	qt	Covariates_only	2.614884e-01
african	Albumin_adjstatins	snpnet	qt	Genotype_and_covariates	2.403485e-01
african	Albumin_adjstatins	snpnet	qt	Genotype_only	2.197201e-02
african	Alkaline_phosphatase	snpnet	qt	Covariates_only	1.778803e-01
african	Alkaline_phosphatase	snpnet	qt	Genotype_and_covariates	2.495393e-01
african	Alkaline_phosphatase	snpnet	qt	Genotype_only	1.737178e-01
african	Apolipoprotein_A	snpnet	qt	Covariates_only	3.307628e-02
african	Apolipoprotein_A	snpnet	qt	Genotype_and_covariates	3.875108e-02
african	Apolipoprotein_A	snpnet	qt	Genotype_only	2.009595e-02
african	Apolipoprotein_A_adjstatins	snpnet	qt	Covariates_only	3.431040e-02
african	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_and_covariates	3.894733e-02
african	Apolipoprotein_A_adjstatins	snpnet	qt	Genotype_only	1.871902e-02
african	Apolipoprotein_B	snpnet	qt	Covariates_only	6.693914e-02
african	Apolipoprotein_B	snpnet	qt	Genotype_and_covariates	1.713689e-01
african	Apolipoprotein_B	snpnet	qt	Genotype_only	1.646624e-01
african	Apolipoprotein_B_adjstatins	snpnet	qt	Covariates_only	7.423611e-02
african	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_and_covariates	1.824690e-01
african	Apolipoprotein_B_adjstatins	snpnet	qt	Genotype_only	1.714702e-01
african	Aspartate_aminotransferase	snpnet	qt	Covariates_only	1.701856e-01
african	Aspartate_aminotransferase	snpnet	qt	Genotype_and_covariates	1.791177e-01
african	Aspartate_aminotransferase	snpnet	qt	Genotype_only	5.570424e-02
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Covariates_only	1.678397e-01
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_and_covariates	1.785603e-01
african	Aspartate_aminotransferase_adjstatins	snpnet	qt	Genotype_only	6.007736e-02
african	Calcium	snpnet	qt	Covariates_only	4.816014e-01
african	Calcium	snpnet	qt	Genotype_and_covariates	3.930196e-01
african	Calcium	snpnet	qt	Genotype_only	1.432918e-02
african	Calcium_adjstatins	snpnet	qt	Covariates_only	4.830801e-01
african	Calcium_adjstatins	snpnet	qt	Genotype_and_covariates	3.928330e-01
african	Calcium_adjstatins	snpnet	qt	Genotype_only	1.605635e-02
african	Cholesterol	snpnet	qt	Covariates_only	1.662503e-01
african	Cholesterol	snpnet	qt	Genotype_and_covariates	2.606173e-01
african	Cholesterol	snpnet	qt	Genotype_only	2.106911e-01
african	Cholesterol_adjstatins	snpnet	qt	Covariates_only	2.160411e-01
african	Cholesterol_adjstatins	snpnet	qt	Genotype_and_covariates	3.311167e-01
african	Cholesterol_adjstatins	snpnet	qt	Genotype_only	2.585085e-01
african	Creatinine	snpnet	qt	Covariates_only	3.917195e-01
african	Creatinine	snpnet	qt	Genotype_and_covariates	3.897301e-01
african	Creatinine	snpnet	qt	Genotype_only	4.122883e-02
african	Creatinine_adjstatins	snpnet	qt	Covariates_only	3.902669e-01
african	Creatinine_adjstatins	snpnet	qt	Genotype_and_covariates	3.877020e-01
african	Creatinine_adjstatins	snpnet	qt	Genotype_only	4.342640e-02
african	Cystatin_C	snpnet	qt	Covariates_only	1.667130e-01
african	Cystatin_C	snpnet	qt	Genotype_and_covariates	1.740464e-01
